本地菜品分类,淘点点分类ID
盆地篇,50024702
烹羊专家,50024702
飘香主食,50024702
拼盘系列,50024702
普通芝心系列,50024702
其他类,50024702
其他日韩料理,50024702
其他西点,50024702
其他主食,50024702
其它,50024702
其它类,50024702
其它特色,50024702
前食侧奉,50024702
前厅,50024702
黔味河鲜,50024702
黔味河鲜+3元餐盒费,50024702
炝拌,50024702
青椒篇,50024702
轻松卷类,50024702
清菜,50024702
―清真传统―,50024702
清真精品,50024702
情深意长,50024702
庆典蛋糕（蛋糕，需提前1天预订）,50024702
全年供应,50024702
群生招牌,50024702
热菜（菜价已包含1元打包餐盒费）,50024702
热菜（已包含一元打包费）,50024702
热菜石锅系列,50024702
热卖,50024702
热卖产品,50024702
热门推荐,50024702
人气篇,50024702
人气推荐,50024702
日出口感,50024702
日岩招牌菜推荐,50024702
融合菜,50024702
融合创新菜,50024702
肉、丸、水产类,50024702
肉菜,50024702
肉畜佳肴（已包含1元打包费）,50024702
肉类海鲜,50024702
肉类系列,50024702
肉馅类,50024702
乳酪蛋糕类,50024702
乳脂蛋糕类,50024702
三椒系列,50024702
三椒系列（已包含一元打包费）,50024702
三味,50024702
三文治,50024702
色拉类,50024702
色拉小吃サラダThesalad,50024702
山野菜系列,50024702
山珍海味,50024702
山珍野菌（已包含1元打包费）,50024702
陕西特色/主食,50024702
上海菜,50024702
上午11:30后供应,50024702
上杂,50024702
烧菜,50024702
烧菜类,50024702
烧卤,50024702
烧味（菜价已包含1元打包餐盒费）,50024702
烧味菜式,50024702
烧仙草,50024702
什锦果盒,50024702
神清气爽,50024702
生菜,50024702
生活蒸蒸日上,50024702
生猛海鲜（扇贝王两只起做）,50024702
生鲜蔬菜,50024702
生鲜蔬菜/食材半成品,50024702
生鲜系列,50024702
十大经典赣菜,50024702
十大特色菜,50024702
十大招牌,50024702
十二元区,50024702
十五元区,50024702
十五元元尝鲜区刺身,50024702
十元区,50024702
石板,50024702
石锅,50024702
石锅风味,50024702
石锅石板传奇,50024702
石锅系列,50024702
石家创意石锅,50024702
时令菜谱,50024702
时令蔬菜（价格已包含一元打包费）,50024702
时令蔬菜（请备注口味）,50024702
时令蔬菜（请备注口味）（已包含一元打包费）,50024702
时令蔬菜篇,50024702
时令小菜,50024702
时尚川菜,50024702
时尚精品刺身,50024702
时尚精品凉菜,50024702
时尚冷碟,50024702
时尚冷肴,50024702
时尚融合菜,50024702
时尚素斋,50024702
时尚养生,50024702
时蔬类,50024702
食客特色粥,50024702
食尚凉味,50024702
食事,50024702
食在小菜,50024702
手工丸滑,50024702
手卷寿司,50024702
手握,50024702
首先主食,50024702
蔬菜、干菜、豆制品类,50024702
蔬菜豆腐,50024702
蔬菜粉蒸,50024702
蔬菜篇,50024702
蔬菜系列,50024702
蔬食很健康,50024702
甩单商品,50024702
涮菜,50024702
涮菜类,50024702
涮菜系列,50024702
涮锅荤菜,50024702
涮锅素菜,50024702
涮锅调料,50024702
涮品（火锅配菜）,50024702
水产系列（无折扣）,50024702
水产珍馐（已包含1元打包费）,50024702
吮指原味鸡,50024702
私房菜,50024702
私房饺子,50024702
私房甜品,50024702
私房主食,50024702
私家菜,50024702
四川冒菜麻辣香锅,50024702
四川小吃之白灼类,50024702
四川小吃之煎炸类,50024702
四川小吃之甜品,50024702
四川小吃之蒸类,50024702
四川小吃之煮类,50024702
四方美食,50024702
四季时蔬,50024702
四季田园,50024702
苏。沪。杭,50024702
素食篇,50024702
素食主义,50024702
台式小火锅,50024702
台湾卤味系列,50024702
台湾美味,50024702
台湾特色小吃,50024702
泰国菜,50024702
泰国黑糯米系列,50024702
炭乃家新添菜品,50024702
糖尿病人群食谱,50024702
特产类,50024702
特贡类,50024702
特色伴侣,50024702
特色煲仔,50024702
特色菜类,50024702
特色菜品,50024702
特色餐点,50024702
特色茶,50024702
特色川菜,50024702
特色醋,50024702
特色东北菜,50024702
特色风味,50024702
特色锅底系列,50024702
特色韩式小吃,50024702
特色佳肴,50024702
特色家常菜,50024702
特色京菜,50024702
特色精品,50024702
特色凉菜篇,50024702
特色料理,50024702
特色卤水,50024702
特色砂锅,50024702
特色熟食,50024702
特色藤椒味,50024702
特色推荐,50024702
特色系列,50024702
特色鲜椒系列,50024702
特色香锅,50024702
特色小菜,50024702
特色小蒸菜系列,50024702
特色压锅类,50024702
特色营养砂锅粥,50024702
特色招牌,50024702
特色主菜（含一元打包费）,50024702
特色主食类,50024702
特色主招牌菜,50024702
特殊要求,50024702
特味麺,50024702
提神醒脑,50024702
蹄花蛙,50024702
天然奶油蛋糕类,50024702
天天低价,50024702
天意凉菜,50024702
天意热菜,50024702
天意主食,50024702
田。园。时。蔬,50024702
田园时菜,50024702
―田园时蔬―,50024702
田园时蔬（菜价已包含1元打包餐盒费）,50024702
田园时蔬（每份含一元打包费）,50024702
田园时蔬（已包含一元打包盒费用）,50024702
田园小时蔬,50024702
挑战味蕾,50024702
调理类,50024702
铁板、锅仔,50024702
铁板干锅,50024702
―铁板锅仔煲类―,50024702
铁板平锅,50024702
铁板三杯,50024702
